Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,858.0,18.0,32.0,858.0,0.1,15.107999999999993,0.0,0.0,85.20897102355957,,,,,,,,,,,,,,,,,,,,,4.44776803285985,5.162361771949154,14.995647722746256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,918.0,19.0,60.0,918.0,0.1,37.207,0.0,0.0,91.0870213508606,,,,,,,,,,,,,,,,,,,,,12.623706860384253,12.371009196807005,36.52258623826724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,981.0,20.0,63.0,981.0,0.1,42.205999999999996,0.0,0.0,97.26541590690613,,,,,,,,,,,,,,,,,,,,,16.441622024871602,13.494198852377508,41.2526418434782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,45.0,1.0,45.0,1026.0,0.1,21.307000000000027,0.0,0.0,198.65152883529663,,,,,,,,,,,,,,,,,,,,,6.167595255537672,6.958440169723113,21.071580302525557,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,68.0,2.0,23.0,1049.0,0.1,10.504999999999995,0.0,0.0,201.51458716392517,,,,,,,,,,,,,,,,,,,,,3.2522757666801785,3.6755306860189862,10.451089385047064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,138.0,3.0,70.0,1119.0,0.1,47.00599999999999,0.0,0.0,208.51424360275269,,,,,,,,,,,,,,,,,,,,,19.339050513066663,14.608688262635699,45.74370813665049,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,175.0,4.0,37.0,1156.0,0.1,18.80700000000002,0.0,0.0,212.7762725353241,,,,,,,,,,,,,,,,,,,,,5.768758002570504,6.358995161555412,18.630798920947868,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,207.0,5.0,32.0,1188.0,0.1,15.205999999999994,0.0,0.0,216.36324644088745,,,,,,,,,,,,,,,,,,,,,4.637094620060775,5.11752795456191,15.08777343124712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,236.0,6.0,29.0,1217.0,0.1,11.405999999999993,0.0,0.0,219.54613375663757,,,,,,,,,,,,,,,,,,,,,3.1315271971512044,3.7807462535735548,11.337850073579704,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,273.0,7.0,37.0,1254.0,0.1,22.205000000000016,0.0,0.0,223.50881457328796,,,,,,,,,,,,,,,,,,,,,7.6955258686803605,7.598149624455512,21.96417192253197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
